,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,   157,     2,     4,     0,     1,     0,     0,     1,     4,     5,     5,     2,     2,    11,     7,    31,    10,    27,    25,    42
comp.graphics,     2,   281,    70,    14,    12,    54,     4,     2,     3,     7,     3,     8,    22,     6,    17,     7,     0,     1,     2,     4
comp.os.ms-windows.misc,     0,     0,     8,     0,     3,     1,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
comp.sys.ibm.pc.hardware,     1,    19,   136,   263,    52,    10,    23,     0,     0,     2,     1,     3,    36,     1,     0,     0,     0,     1,     0,     1
comp.sys.mac.hardware,     0,    15,    34,    50,   229,    12,    19,     2,     1,     0,     1,     6,    26,     0,     0,     0,     1,     0,     0,     0
comp.windows.x,    12,    32,    99,    16,    21,   295,     9,    26,    16,    19,    10,    19,    13,    16,    19,    14,    14,     8,    10,     8
misc.forsale,     1,     2,     2,    11,    14,     1,   298,    14,     4,     6,     0,     3,    10,     2,     2,     0,     2,     1,     0,     2
rec.autos,     3,     2,     3,     4,     8,     1,     6,   280,    33,     4,     1,     5,    17,    15,     7,     1,     7,     2,     5,     2
rec.motorcycles,     6,     2,     5,     0,     4,     2,     4,    25,   284,     5,     1,     4,     8,     8,     7,     2,     7,     7,     5,     2
rec.sport.baseball,     2,     3,     1,     1,     1,     0,     2,     3,     7,   317,    32,     1,     3,     3,     2,     1,     4,     1,     0,     4
rec.sport.hockey,     2,     0,     0,     0,     1,     1,     4,     2,     2,     7,   320,     1,     2,     4,     0,     2,     1,     1,     0,     1
sci.crypt,     2,    11,     6,     5,     7,     4,     1,     4,     0,     1,     3,   271,    20,     4,     3,     0,     6,     3,     3,     0
sci.electronics,     1,     3,     2,    24,    19,     3,     7,    14,    15,     1,     2,    11,   207,     9,    12,     1,     4,     2,     2,     3
sci.med,     5,     5,     3,     2,     5,     1,     3,     4,     1,     3,     3,     6,    10,   286,    10,     4,     4,     2,     9,     5
sci.space,     9,     6,     6,     0,     3,     4,     3,     3,     2,     1,     1,     5,     7,     1,   268,     1,     2,     0,     7,     5
soc.religion.christian,    62,     3,     3,     0,     2,     2,     2,     5,     7,     8,     5,     7,     5,     9,    10,   309,    16,    22,     4,    83
talk.politics.guns,    10,     0,     0,     1,     1,     1,     1,     4,     8,     5,     2,    19,     1,     6,     3,     3,   242,     9,    95,    24
talk.politics.mideast,    14,     1,     1,     0,     0,     1,     1,     1,     3,     2,     2,    10,     0,     6,     5,     2,    17,   264,    16,     8
talk.politics.misc,     9,     1,     7,     1,     1,     2,     2,     4,     8,     3,     6,    14,     3,     7,    20,     4,    15,    21,   118,     7
talk.religion.misc,    21,     1,     4,     0,     1,     0,     0,     2,     0,     1,     1,     1,     1,     2,     2,    16,    12,     4,     9,    50
