,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,   145,     5,     4,     0,     3,     1,     0,     7,     3,     5,     7,     3,     3,    11,     7,    17,     9,    26,    17,    40
comp.graphics,     3,   259,    28,    16,    11,    44,     3,     3,     2,     3,     0,     6,    24,     9,     8,     4,     3,     0,     1,     3
comp.os.ms-windows.misc,     2,    27,   227,    40,    10,    38,     2,     6,     1,     1,     0,     4,    10,     3,     4,     1,     4,     1,     1,     3
comp.sys.ibm.pc.hardware,     0,    11,    35,   235,    26,     6,    14,     2,     2,     0,     1,     4,    29,     1,     2,     0,     0,     0,     0,     1
comp.sys.mac.hardware,     0,    10,    19,    30,   258,     5,    12,     1,     1,     2,     1,     3,    16,     3,     4,     0,     0,     0,     1,     0
comp.windows.x,     5,    19,    20,     6,     4,   265,     1,     1,     1,     1,     0,     3,     6,     0,     0,     1,     1,     2,     1,     1
misc.forsale,     1,     8,     4,    10,    12,     2,   309,    11,     4,     7,     1,     5,     9,     6,     2,     3,     2,     1,     1,     2
rec.autos,     6,     3,     4,     3,     2,     1,     7,   261,    32,     2,     2,     2,    13,    12,     7,     1,     9,     3,     3,     4
rec.motorcycles,     5,     1,     2,     1,     2,     2,     7,    29,   288,     6,     4,     6,    12,     5,     2,     3,     5,     8,     2,     3
rec.sport.baseball,    13,    10,    18,     9,    18,    13,    13,    31,    17,   323,    29,    20,    16,    18,    24,    14,    14,    10,    14,    11
rec.sport.hockey,     0,     1,     0,     1,     1,     0,     1,     0,     0,    17,   337,     2,     1,     1,     0,     0,     1,     0,     2,     3
sci.crypt,     3,     4,     3,     3,     2,     4,     1,     0,     1,     1,     1,   263,    12,     1,     2,     1,     8,     3,     4,     0
sci.electronics,     5,    18,     4,    35,    23,     6,    10,    20,    12,     6,     1,    21,   209,     8,    15,     2,     3,     4,     3,     1
sci.med,    11,     1,     5,     1,     4,     4,     1,     4,     7,     3,     1,     5,    11,   288,    15,     6,     8,     4,     8,    10
sci.space,    12,     6,    11,     1,     6,     1,     4,     6,     6,     1,     1,     7,    13,    11,   281,     5,     8,     4,    10,     3
soc.religion.christian,    57,     3,     1,     1,     1,     0,     2,     2,     2,     4,     2,     2,     2,     4,     3,   312,    10,     7,     5,    75
talk.politics.guns,     9,     0,     2,     0,     2,     1,     1,     7,     6,     3,     5,    22,     0,     5,     6,     1,   240,     9,    93,    24
talk.politics.mideast,    11,     0,     0,     0,     0,     2,     2,     0,     2,     5,     0,     7,     4,     2,     4,     6,     9,   278,    12,     5
talk.politics.misc,     7,     3,     5,     0,     0,     0,     0,     4,    10,     7,     3,     8,     2,     5,     8,     2,    21,    14,   126,     6
talk.religion.misc,    24,     0,     2,     0,     0,     0,     0,     1,     1,     0,     3,     3,     1,     3,     0,    19,     9,     2,     6,    56
