,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,   148,     4,     7,     0,     2,     0,     0,     4,     2,     7,     8,     4,     2,     6,    11,    21,     6,    29,    13,    46
comp.graphics,     4,   260,    37,    28,    11,    51,     6,     5,     3,     5,     2,    10,    25,    13,     9,     7,     2,     1,     2,     4
comp.os.ms-windows.misc,     2,    30,   221,    38,    11,    38,     3,     3,     1,     2,     1,     4,     9,     1,     2,     2,     3,     1,     0,     2
comp.sys.ibm.pc.hardware,     0,     9,    33,   233,    34,     5,    12,     3,     1,     0,     0,     8,    27,     4,     1,     0,     0,     0,     0,     1
comp.sys.mac.hardware,     1,    12,    15,    26,   241,     5,    10,     3,     1,     2,     1,     3,    13,     3,     5,     0,     0,     0,     0,     0
comp.windows.x,     2,    18,    11,     3,     4,   247,     1,     2,     1,     2,     0,     0,     5,     0,     0,     0,     0,     0,     0,     0
misc.forsale,     1,     5,     2,    12,    11,     3,   302,    11,     5,     5,     1,     4,     7,     7,     3,     2,     1,     0,     0,     1
rec.autos,    23,    10,    22,    13,    23,    15,    17,   292,    52,    26,    18,    25,    27,    35,    29,    19,    25,    11,    13,    17
rec.motorcycles,     9,     1,     5,     3,     5,     4,    10,    27,   285,    10,    13,     5,    22,    12,     5,     7,    11,    10,     5,     7
rec.sport.baseball,     2,     4,     3,     1,     4,     5,     2,     3,     3,   294,    29,     6,     5,     1,     5,     4,     4,     6,     8,     4
rec.sport.hockey,     0,     0,     0,     1,     1,     0,     1,     0,     0,    14,   308,     3,     1,     1,     0,     0,     1,     0,     1,     1
sci.crypt,     3,     2,     4,     1,     2,     3,     1,     1,     0,     1,     1,   244,     6,     0,     2,     0,     5,     2,     2,     0
sci.electronics,     3,    18,     8,    32,    26,    10,    16,    22,    12,     7,     3,    25,   212,    15,    16,     4,     5,     4,     4,     2
sci.med,     9,     1,     6,     1,     3,     3,     0,     3,     6,     5,     3,     3,    10,   261,    13,     6,     8,     5,    12,     7
sci.space,    16,     9,    10,     0,     5,     3,     5,     7,    10,     3,     1,    12,    19,    15,   276,     5,    12,     5,    15,     6
soc.religion.christian,    53,     3,     0,     0,     0,     0,     2,     2,     2,     1,     0,     1,     0,     4,     2,   303,     7,     8,     5,    70
talk.politics.guns,    10,     0,     2,     0,     1,     1,     1,     4,     4,     3,     4,    23,     0,     6,     5,     0,   233,     7,    88,    20
talk.politics.mideast,    11,     0,     1,     0,     1,     0,     1,     0,     1,     2,     1,     6,     0,     2,     2,     5,     8,   271,     7,     5
talk.politics.misc,     5,     3,     5,     0,     0,     1,     0,     3,     9,     8,     4,     9,     2,     8,     8,     1,    25,    15,   130,     8
talk.religion.misc,    17,     0,     2,     0,     0,     1,     0,     1,     0,     0,     1,     1,     1,     2,     0,    12,     8,     1,     5,    50
